SKU,Marca,Modelo,Precio_Lista,Precio_Arriendo,Stock_Disponible,Stock_Minimo,Proveedor,Estado
70012017,HONOR,90 LITE 256GB NGRE,189.990,185.006,45,20,HONOR CHILE,Activo
70012259,HONOR,X6A PLUS 256G PL,129.990,123.314,82,30,HONOR CHILE,Activo
70012196,MOTOROLA,ED40 256 X23031 EC,239.990,224.763,28,15,MOTOROLA SA,Activo
70011595,SAMSUNG,GS23 256 S911DS BE,679.990,653.862,15,10,SAMSUNG ELECTRONICS,Activo
70012078,MOTOROLA,MG54 256 GX2343 EE,149.990,141.822,65,25,MOTOROLA SA,Activo
70011172,OPPO,A78 128GB GLOWING BLACK,199.990,191.175,38,20,OPPO CHILE,Activo
70011234,SAMSUNG,GS24 512 S911DS,899.990,854.990,8,5,SAMSUNG ELECTRONICS,Activo
70011456,XIAOMI,REDMI NOTE 13 128GB,149.990,142.490,92,40,XIAOMI CHILE,Activo
70011567,XIAOMI,REDMI NOTE 13 PRO 256GB,229.990,218.390,45,20,XIAOMI CHILE,Activo
70011789,APPLE,IPHONE 14 128GB,699.990,664.990,12,8,APPLE INC,Activo
70011890,APPLE,IPHONE 15 256GB,999.990,949.990,6,5,APPLE INC,Activo
70012345,OPPO,A98 256GB,279.990,265.990,24,15,OPPO CHILE,Activo
70012456,OPPO,RENO 10 PRO,549.990,522.390,10,5,OPPO CHILE,Activo
70012567,MOTOROLA,EDGE 40 PRO,599.990,569.990,14,8,MOTOROLA SA,Activo
70012678,XIAOMI,XIAOMI 13T PRO 512GB,649.990,617.390,9,5,XIAOMI CHILE,Activo
70012789,SAMSUNG,GA54 128G,179.990,170.990,78,35,SAMSUNG ELECTRONICS,Activo
70012890,HONOR,X9A 256G,299.990,284.990,32,15,HONOR CHILE,Activo
70013001,HUAWEI,P60 PRO 256GB,449.990,427.490,5,3,HUAWEI CHILE,Descontinuado
70013112,HUAWEI,MATE 50 PRO,499.990,474.990,3,2,HUAWEI CHILE,Descontinuado
70013223,LG,VELVET 128GB,199.990,189.990,0,0,LG ELECTRONICS,Descontinuado
70013334,APPLE,IPHONE 15 PRO MAX 512GB,1.399.990,1.329.990,4,3,APPLE INC,Activo
70013445,SAMSUNG,GS24 ULTRA 1TB,1.599.990,1.519.990,2,2,SAMSUNG ELECTRONICS,Activo
